name,alt,kgm,h,b,tw,tf,r,profileCode,code,localIndex
HP 305X223,,223,337.9,325.7,30.3,30.4,15.2,HP,EN10365,13
HP 320X88,,88.5,303,304,12,12,27,HP,EN10365,14
HP 320X103,,103,307,306,14,14,27,HP,EN10365,15
HP 320X117,,117,311,308,16,16,27,HP,EN10365,16
HP 320X147,,147,319,312,20,20,27,HP,EN10365,17
HP 320X184,,184,329,317,25,25,27,HP,EN10365,18
HP 360X109,,109,346.4,371,12.8,12.9,15.2,HP,EN10365,19
HP 360X133,,133,352,373.8,15.6,15.7,15.2,HP,EN10365,20
HP 360X152,,152,356.4,376,17.8,17.9,15.2,HP,EN10365,21
HP 360X174 ,,174,361.4,378.5,20.3,20.4,15.2,HP,EN10365,22
HP 360X180,,180,362.9,378.8,21.1,21.1,15.2,HP,EN10365,23
HP 400X122,,122,348,390,14,14,15,HP,EN10365,24
HP 400X140,,140,352,392,16,16,15,HP,EN10365,25
HP 400X158,,158,356,394,18,18,15,HP,EN10365,26
HP 400X176,,176,360,396,20,20,15,HP,EN10365,27
HP 400X194,,194,364,398,22,22,15,HP,EN10365,28
HP 400X213,,213,368,400,24,24,15,HP,EN10365,29
HP 400X231,,231,372,402,26,26,15,HP,EN10365,30
UBP 203X45,,44.9,200.2,205.9,9.5,9.5,10.2,UBP,EN10365,0
UBP 203X54,,53.9,204,207.7,11.3,11.4,10.2,UBP,EN10365,1
UBP 254X63,,63,247.1,256.6,10.6,10.7,12.7,UBP,EN10365,2
UBP 254X71,,71,249.7,258,12,12,12.7,UBP,EN10365,3
UBP 254X85,,85.1,254.3,260.4,14.4,14.3,12.7,UBP,EN10365,4
UBP 305X79,,78.9,299.3,306.4,11,11.1,15.2,UBP,EN10365,5
UBP 305X88,,88,301.7,307.8,12.4,12.3,15.2,UBP,EN10365,6
UBP 305X95,,94.9,303.7,308.7,13.3,13.3,15.2,UBP,EN10365,7
UBP 305X110,,110,307.9,310.7,15.3,15.4,15.2,UBP,EN10365,8
UBP 305X126,,126,312.3,312.9,17.5,17.6,15.2,UBP,EN10365,9
UBP 305X149,,149,318.5,316,20.6,20.7,15.2,UBP,EN10365,10
UBP 305X186,,186,328.3,320.9,25.5,25.6,15.2,UBP,EN10365,11
UBP 305X223,,223,337.9,325.7,30.3,30.4,15.2,UBP,EN10365,12
UBP 356X109,,109,346.4,371,12.8,12.9,15.2,UBP,EN10365,13
UBP 356X133,,133,352,373.8,15.6,15.7,15.2,UBP,EN10365,14
UBP 356X152,,152,356.4,376,17.8,17.9,15.2,UBP,EN10365,15
UBP 356X174,,174,361.4,378.5,20.3,20.4,15.2,UBP,EN10365,16
HP 8X36,,54,204,207,11.3,11.3,10,HP,ASTM,0
HP 10X42,,62,246,256,10.5,10.7,13,HP,ASTM,1
HP 10X57,,85,254,260,14.4,14.4,13,HP,ASTM,2
HP 12X53,,79,299,306,11,11,15,HP,ASTM,3
HP 12X63,,94,303,308,13.1,13.1,15,HP,ASTM,4
HP 12X74,,110,308,310,15.4,15.5,15,HP,ASTM,5
HP 12X84,,125,312,312,17.4,17.4,15,HP,ASTM,6
HP 12X89,,132,314,313,18.3,18.3,15,HP,ASTM,7
HP 14X73,,108,346,370,12.8,12.8,0,HP,ASTM,8
HP 14X89,,132,351,373,15.6,15.6,0,HP,ASTM,9
HP 14X102,,152,356,376,17.9,17.9,0,HP,ASTM,10
HP 14X117,,174,361,378,20.4,20.4,0,HP,ASTM,11
HP 16X88,,131,389,398,13.7,13.7,0,HP,ASTM,12
HP 16X101,,151,394,400,15.9,15.9,0,HP,ASTM,13
HP 16X121,,181,400,403,19.1,19.1,0,HP,ASTM,14
HP 16X141,,211,406,406,22.2,22.2,0,HP,ASTM,15
HP 16X162,,242,413,410,25.4,25.4,0,HP,ASTM,16
HP 16X183,,272,419,413,28.6,28.6,0,HP,ASTM,17
HP 18X135,,202,445,451,19.1,19.1,0,HP,ASTM,18
HP 18X157,,234,451,454,22.1,22.1,0,HP,ASTM,19
HP 18X181,,269,457,457,25.4,25.4,0,HP,ASTM,20
HP 18X204,,304,464,460,28.6,28.6,0,HP,ASTM,21
H 200X200,,56.2,200,204,12,12,13,HP,KS D3502,22
H 250X250,,64.4,244,252,11,11,16,HP,KS D3502,23
H 250X250,,82.2,250,255,14,14,16,HP,KS D3502,24
H 300X300,,84.5,294,302,12,12,18,HP,KS D3502,25
H 300X300,,94,300,300,10,15,18,HP,KS D3502,26
H 300X300,,106,300,305,15,15,18,HP,KS D3502,27
H 350X350,,106,338,351,13,13,20,HP,KS D3502,28
H 350X350,,131,344,354,16,16,20,HP,KS D3502,29
H 350X350,,137,350,350,12,19,20,HP,KS D3502,30
H 350X350,,156,350,357,19,19,20,HP,KS D3502,31
H 400X400,,140,388,402,15,15,22,HP,KS D3502,32
H 400X400,,186,394,405,18,18,22,HP,KS D3502,33
H 400X400,,172,400,400,13,21,22,HP,KS D3502,34
H 400X400,,197,400,408,21,21,22,HP,KS D3502,35
H 400X400,,232,414,405,18,18,22,HP,KS D3502,36
H 400X400,,283,428,407,20,35,22,HP,KS D3502,37
200 UBP 122,,122,230,220,25,25,11.4,UBP,AS 3679.2,0
310 UBP 78.8,,78.8,299,306,11.1,11.1,16.5,UBP,AS 3679.2,1
310 UBP 110,,110,308,311,15.4,15.3,16.5,UBP,AS 3679.2,2
310 UBP 149,,149,318,316,20.6,20.5,16.5,UBP,AS 3679.2,3
