name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 2 SCH ,,2,6.54794514,60.33,4.78,,CHS,ASME B36.10M
CHS 2 SCH 80,CHS 2 SCH XS,2,7.485212556,60.33,5.54,80(XS),CHS,ASME B36.10M
CHS 2 SCH 120,,2,8.45278218,60.33,6.35,120,CHS,ASME B36.10M
CHS 2 SCH ,,2,9.365290956,60.33,7.14,,CHS,ASME B36.10M
CHS 2 SCH 160,,2,11.11911016,60.33,8.74,160,CHS,ASME B36.10M
CHS 2 SCH XXS,,2,13.44730021,60.33,11.07,XXS,CHS,ASME B36.10M
CHS 2.5 SCH 5,,2.5,3.690151992,73.03,2.11,5,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,4.799334132,73.03,2.77,,CHS,ASME B36.10M
CHS 2.5 SCH 10,,2.5,5.26340574,73.03,3.05,10,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,5.47755318,73.03,3.18,,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,6.13124046,73.03,3.58,,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,6.744934152,73.03,3.96,,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,7.399089972,73.03,4.37,,CHS,ASME B36.10M
CHS 2.5 SCH 30,,2.5,8.0449551,73.03,4.78,30,CHS,ASME B36.10M
CHS 2.5 SCH 40,CHS 2.5 SCH STD,2.5,8.636158872,73.03,5.16,40(STD),CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,9.143794836,73.03,5.49,,CHS,ASME B36.10M
CHS 2.5 SCH ,,2.5,10.44148788,73.03,6.35,,CHS,ASME B36.10M
CHS 2.5 SCH 80,CHS 2.5 SCH XS,2.5,11.41265293,73.03,7.01,80(XS),CHS,ASME B36.10M
CHS 2.5 SCH 120,,2.5,12.29114077,73.03,7.62,120,CHS,ASME B36.10M
CHS 2.5 SCH 160,,2.5,14.9231223,73.03,9.53,160,CHS,ASME B36.10M
CHS 2.5 SCH XXS,,2.5,20.40171613,73.03,14.02,XXS,CHS,ASME B36.10M
CHS 3 SCH 5,,3,4.515909354,88.9,2.11,5,CHS,ASME B36.10M
CHS 3 SCH ,,3,5.883385266,88.9,2.77,,CHS,ASME B36.10M
CHS 3 SCH 10,,3,6.45703605,88.9,3.05,10,CHS,ASME B36.10M
