name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 30 SCH 30,,30,292.1811889,762,15.88,30,CHS,ASME B36.10M
CHS 32 SCH 10,,32,157.1988591,812.8,7.92,10,CHS,ASME B36.10M
CHS 32 SCH STD,,32,188.776322,812.8,9.53,STD,CHS,ASME B36.10M
CHS 32 SCH 20,CHS 32 SCH XS,32,250.5769182,812.8,12.7,20(XS),CHS,ASME B36.10M
CHS 32 SCH 30,,32,312.0745095,812.8,15.88,30,CHS,ASME B36.10M
CHS 32 SCH 40,,32,342.8280942,812.8,17.48,40,CHS,ASME B36.10M
CHS 34 SCH 10,,34,167.1204649,863.6,7.92,10,CHS,ASME B36.10M
CHS 34 SCH STD,,34,200.7148199,863.6,9.53,STD,CHS,ASME B36.10M
CHS 34 SCH 20,CHS 34 SCH XS,34,266.4865638,863.6,12.7,20(XS),CHS,ASME B36.10M
CHS 34 SCH 30,,34,331.9678302,863.6,15.88,30,CHS,ASME B36.10M
CHS 34 SCH 40,,34,364.5214345,863.6,17.47,40,CHS,ASME B36.10M
CHS 36 SCH 10,,36,177.0420707,914.4,7.92,10,CHS,ASME B36.10M
CHS 36 SCH STD,,36,212.6533177,914.4,9.53,STD,CHS,ASME B36.10M
CHS 36 SCH 20,CHS 36 SCH XS,36,282.3962094,914.4,12.7,20(XS),CHS,ASME B36.10M
CHS 36 SCH 30,,36,351.8611508,914.4,15.88,30,CHS,ASME B36.10M
CHS 36 SCH 40,,36,420.6112556,914.4,19.05,40,CHS,ASME B36.10M
CHS 38 SCH STD,,38,224.5918156,965.2,9.53,STD,CHS,ASME B36.10M
CHS 38 SCH XS,,38,298.305855,965.2,12.7,XS,CHS,ASME B36.10M
CHS 40 SCH STD,,40,236.5303134,1016,9.53,STD,CHS,ASME B36.10M
CHS 40 SCH XS,,40,314.2155006,1016,12.7,XS,CHS,ASME B36.10M
CHS 42 SCH STD,,42,248.5158132,1067,9.53,STD,CHS,ASME B36.10M
CHS 42 SCH XS,,42,330.1877826,1067,12.7,XS,CHS,ASME B36.10M
CHS 44 SCH STD,,44,260.454311,1117.8,9.53,STD,CHS,ASME B36.10M
CHS 44 SCH XS,,44,346.0974282,1117.8,12.7,XS,CHS,ASME B36.10M
CHS 46 SCH STD,,46,272.3458069,1168.4,9.53,STD,CHS,ASME B36.10M
CHS 46 SCH XS,,46,361.9444374,1168.4,12.7,XS,CHS,ASME B36.10M
CHS 48 SCH STD,,48,284.2373028,1219,9.53,STD,CHS,ASME B36.10M
,,48,377.7914466,1219,12.7,XS,CHS,ASME B36.10M
,,0.5,1.077642,21.3,2.3,,CHS,EN 10210-2 HR
,,0.5,1.1989692,21.3,2.6,,CHS,EN 10210-2 HR
,,0.5,1.4283072,21.3,3.2,,CHS,EN 10210-2 HR
,,0.75,1.3952628,26.9,2.3,,CHS,EN 10210-2 HR
,,0.75,1.5580188,26.9,2.6,,CHS,EN 10210-2 HR
,,0.75,1.8702144,26.9,3.2,,CHS,EN 10210-2 HR
,,1,1.9940076,33.7,2.6,,CHS,EN 10210-2 HR
,,1,2.406816,33.7,3.2,,CHS,EN 10210-2 HR
,,1,2.929608,33.7,4,,CHS,EN 10210-2 HR
,,1.25,2.5518168,42.4,2.6,,CHS,EN 10210-2 HR
,,1.25,3.0933504,42.4,3.2,,CHS,EN 10210-2 HR
,,1.25,3.787776,42.4,4,,CHS,EN 10210-2 HR
,,1.5,2.9301012,48.3,2.6,,CHS,EN 10210-2 HR
,,1.5,3.5589312,48.3,3.2,,CHS,EN 10210-2 HR
,,1.5,4.369752,48.3,4,,CHS,EN 10210-2 HR
,,1.5,5.33889,48.3,5,,CHS,EN 10210-2 HR
,,2,3.6994932,60.3,2.6,,CHS,EN 10210-2 HR
,,2,4.5058752,60.3,3.2,,CHS,EN 10210-2 HR
,,2,5.553432,60.3,4,,CHS,EN 10210-2 HR
,,2,6.81849,60.3,5,,CHS,EN 10210-2 HR
,,0,4.712526,76.1,2.6,,CHS,EN 10210-2 HR
,,0,5.7526848,76.1,3.2,,CHS,EN 10210-2 HR
,,0,7.111944,76.1,4,,CHS,EN 10210-2 HR
,,0,8.76663,76.1,5,,CHS,EN 10210-2 HR
,,3,6.7627584,88.9,3.2,,CHS,EN 10210-2 HR
,,3,8.374536,88.9,4,,CHS,EN 10210-2 HR
,,3,10.34487,88.9,5,,CHS,EN 10210-2 HR
,,3,12.8325708,88.9,6.3,,CHS,EN 10210-2 HR
,,3.5,7.7649408,101.6,3.2,,CHS,EN 10210-2 HR
,,3.5,9.627264,101.6,4,,CHS,EN 10210-2 HR
,,3.5,11.91078,101.6,5,,CHS,EN 10210-2 HR
,,3.5,14.8056174,101.6,6.3,,CHS,EN 10210-2 HR
,,3.5,18.465408,101.6,8,,CHS,EN 10210-2 HR
,,3.5,22.58856,101.6,10,,CHS,EN 10210-2 HR
,,4,8.7671232,114.3,3.2,,CHS,EN 10210-2 HR
,,4,10.879992,114.3,4,,CHS,EN 10210-2 HR
,,4,13.47669,114.3,5,,CHS,EN 10210-2 HR
,,4,16.778664,114.3,6.3,,CHS,EN 10210-2 HR
,,4,20.970864,114.3,8,,CHS,EN 10210-2 HR
,,4,25.72038,114.3,10,,CHS,EN 10210-2 HR
,,0,13.385448,139.7,4,,CHS,EN 10210-2 HR
,,0,16.60851,139.7,5,,CHS,EN 10210-2 HR
,,0,20.7247572,139.7,6.3,,CHS,EN 10210-2 HR
,,0,25.981776,139.7,8,,CHS,EN 10210-2 HR
,,0,31.98402,139.7,10,,CHS,EN 10210-2 HR
,,0,39.2094,139.7,12.5,,CHS,EN 10210-2 HR
,,6,16.206552,168.3,4,,CHS,EN 10210-2 HR
,,6,20.13489,168.3,5,,CHS,EN 10210-2 HR
,,6,25.167996,168.3,6.3,,CHS,EN 10210-2 HR
,,6,31.623984,168.3,8,,CHS,EN 10210-2 HR
,,6,39.03678,168.3,10,,CHS,EN 10210-2 HR
,,6,48.02535,168.3,12.5,,CHS,EN 10210-2 HR
,,0,21.30624,177.8,5,,CHS,EN 10210-2 HR
,,0,26.643897,177.8,6.3,,CHS,EN 10210-2 HR
,,0,33.498144,177.8,8,,CHS,EN 10210-2 HR
,,0,41.37948,177.8,10,,CHS,EN 10210-2 HR
,,0,50.953725,177.8,12.5,,CHS,EN 10210-2 HR
,,0,23.26671,193.7,5,,CHS,EN 10210-2 HR
,,0,29.1140892,193.7,6.3,,CHS,EN 10210-2 HR
,,0,36.634896,193.7,8,,CHS,EN 10210-2 HR
,,0,45.30042,193.7,10,,CHS,EN 10210-2 HR
,,0,55.8549,193.7,12.5,,CHS,EN 10210-2 HR
,,0,62.855874,193.7,14.2,,CHS,EN 10210-2 HR
,,0,70.113312,193.7,16,,CHS,EN 10210-2 HR
,,8,26.39853,219.1,5,,CHS,EN 10210-2 HR
,,8,33.0601824,219.1,6.3,,CHS,EN 10210-2 HR
,,8,41.645808,219.1,8,,CHS,EN 10210-2 HR
,,8,51.56406,219.1,10,,CHS,EN 10210-2 HR
,,8,63.68445,219.1,12.5,,CHS,EN 10210-2 HR
,,8,71.7502428,219.1,14.2,,CHS,EN 10210-2 HR
,,8,80.135136,219.1,16,,CHS,EN 10210-2 HR
,,8,98.19612,219.1,20,,CHS,EN 10210-2 HR
,,0,29.53035,244.5,5,,CHS,EN 10210-2 HR
,,0,37.0062756,244.5,6.3,,CHS,EN 10210-2 HR
,,0,46.65672,244.5,8,,CHS,EN 10210-2 HR
,,0,57.8277,244.5,10,,CHS,EN 10210-2 HR
,,0,71.514,244.5,12.5,,CHS,EN 10210-2 HR
,,0,80.6446116,244.5,14.2,,CHS,EN 10210-2 HR
,,0,90.15696,244.5,16,,CHS,EN 10210-2 HR
,,0,110.7234,244.5,20,,CHS,EN 10210-2 HR
,,0,135.32175,244.5,25,,CHS,EN 10210-2 HR
,,10,33.0444,273,5,,CHS,EN 10210-2 HR
,,10,41.4339786,273,6.3,,CHS,EN 10210-2 HR
,,10,52.2792,273,8,,CHS,EN 10210-2 HR
,,10,64.8558,273,10,,CHS,EN 10210-2 HR
,,10,80.299125,273,12.5,,CHS,EN 10210-2 HR
,,10,90.6245136,273,14.2,,CHS,EN 10210-2 HR
,,10,101.40192,273,16,,CHS,EN 10210-2 HR
,,10,124.7796,273,20,,CHS,EN 10210-2 HR
,,10,152.892,273,25,,CHS,EN 10210-2 HR
,,12,39.32037,323.9,5,,CHS,EN 10210-2 HR
,,12,49.3417008,323.9,6.3,,CHS,EN 10210-2 HR
,,12,62.320752,323.9,8,,CHS,EN 10210-2 HR
,,12,77.40774,323.9,10,,CHS,EN 10210-2 HR
,,12,95.98905,323.9,12.5,,CHS,EN 10210-2 HR
,,12,108.4482684,323.9,14.2,,CHS,EN 10210-2 HR
,,12,121.485024,323.9,16,,CHS,EN 10210-2 HR
,,12,149.88348,323.9,20,,CHS,EN 10210-2 HR
,,12,184.27185,323.9,25,,CHS,EN 10210-2 HR
,,0,54.2665494,355.6,6.3,,CHS,EN 10210-2 HR
,,0,68.574528,355.6,8,,CHS,EN 10210-2 HR
,,0,85.22496,355.6,10,,CHS,EN 10210-2 HR
,,0,105.760575,355.6,12.5,,CHS,EN 10210-2 HR
,,0,119.5487208,355.6,14.2,,CHS,EN 10210-2 HR
,,0,133.992576,355.6,16,,CHS,EN 10210-2 HR
,,0,165.51792,355.6,20,,CHS,EN 10210-2 HR
,,0,203.8149,355.6,25,,CHS,EN 10210-2 HR
,,16,62.1587358,406.4,6.3,,CHS,EN 10210-2 HR
,,16,78.596352,406.4,8,,CHS,EN 10210-2 HR
,,16,97.75224,406.4,10,,CHS,EN 10210-2 HR
,,16,121.419675,406.4,12.5,,CHS,EN 10210-2 HR
,,16,137.3374584,406.4,14.2,,CHS,EN 10210-2 HR
,,16,154.036224,406.4,16,,CHS,EN 10210-2 HR
,,16,190.57248,406.4,20,,CHS,EN 10210-2 HR
,,16,235.1331,406.4,25,,CHS,EN 10210-2 HR
,,16,278.46072,406.4,30,,CHS,EN 10210-2 HR
,,16,361.41696,406.4,40,,CHS,EN 10210-2 HR
,,0,70.0198506,457,6.3,,CHS,EN 10210-2 HR
,,0,88.57872,457,8,,CHS,EN 10210-2 HR
,,0,110.2302,457,10,,CHS,EN 10210-2 HR
,,0,137.017125,457,12.5,,CHS,EN 10210-2 HR
,,0,155.0561616,457,14.2,,CHS,EN 10210-2 HR
,,0,174.00096,457,16,,CHS,EN 10210-2 HR
,,0,215.5284,457,20,,CHS,EN 10210-2 HR
,,0,266.328,457,25,,CHS,EN 10210-2 HR
,,0,315.8946,457,30,,CHS,EN 10210-2 HR
,,0,411.3288,457,40,,CHS,EN 10210-2 HR
,,20,77.9431086,508,6.3,,CHS,EN 10210-2 HR
,,20,98.64,508,8,,CHS,EN 10210-2 HR
,,20,122.8068,508,10,,CHS,EN 10210-2 HR
,,20,152.737875,508,12.5,,CHS,EN 10210-2 HR
,,20,172.9149336,508,14.2,,CHS,EN 10210-2 HR
,,20,194.12352,508,16,,CHS,EN 10210-2 HR
,,20,240.6816,508,20,,CHS,EN 10210-2 HR
,,20,297.7695,508,25,,CHS,EN 10210-2 HR
,,20,353.6244,508,30,,CHS,EN 10210-2 HR
,,20,461.6352,508,40,,CHS,EN 10210-2 HR
,,20,564.714,508,50,,CHS,EN 10210-2 HR
,,24,93.7896246,610,6.3,,CHS,EN 10210-2 HR
,,24,118.76256,610,8,,CHS,EN 10210-2 HR
,,24,147.96,610,10,,CHS,EN 10210-2 HR
,,24,184.179375,610,12.5,,CHS,EN 10210-2 HR
,,24,208.6324776,610,14.2,,CHS,EN 10210-2 HR
,,24,234.36864,610,16,,CHS,EN 10210-2 HR
,,24,290.988,610,20,,CHS,EN 10210-2 HR
,,24,360.6525,610,25,,CHS,EN 10210-2 HR
,,24,429.084,610,30,,CHS,EN 10210-2 HR
,,24,562.248,610,40,,CHS,EN 10210-2 HR
,,24,690.48,610,50,,CHS,EN 10210-2 HR
,,28,109.4807826,711,6.3,,CHS,EN 10210-2 HR
,,28,138.68784,711,8,,CHS,EN 10210-2 HR
,,28,172.8666,711,10,,CHS,EN 10210-2 HR
,,28,215.312625,711,12.5,,CHS,EN 10210-2 HR
,,28,243.9998496,711,14.2,,CHS,EN 10210-2 HR
,,28,274.2192,711,16,,CHS,EN 10210-2 HR
,,28,340.8012,711,20,,CHS,EN 10210-2 HR
,,28,422.919,711,25,,CHS,EN 10210-2 HR
,,28,503.8038,711,30,,CHS,EN 10210-2 HR
,,28,661.8744,711,40,,CHS,EN 10210-2 HR
,,28,815.013,711,50,,CHS,EN 10210-2 HR
,,28,963.2196,711,60,,CHS,EN 10210-2 HR
,,30,117.4040406,762,6.3,,CHS,EN 10210-2 HR
,,30,148.74912,762,8,,CHS,EN 10210-2 HR
,,30,185.4432,762,10,,CHS,EN 10210-2 HR
,,30,231.033375,762,12.5,,CHS,EN 10210-2 HR
,,30,261.8586216,762,14.2,,CHS,EN 10210-2 HR
,,30,294.34176,762,16,,CHS,EN 10210-2 HR
,,30,365.9544,762,20,,CHS,EN 10210-2 HR
,,30,454.3605,762,25,,CHS,EN 10210-2 HR
,,30,541.5336,762,30,,CHS,EN 10210-2 HR
,,30,712.1808,762,40,,CHS,EN 10210-2 HR
,,30,877.896,762,50,,CHS,EN 10210-2 HR
,,32,158.8104,813,8,,CHS,EN 10210-2 HR
,,32,198.0198,813,10,,CHS,EN 10210-2 HR
,,32,246.754125,813,12.5,,CHS,EN 10210-2 HR
,,32,279.7173936,813,14.2,,CHS,EN 10210-2 HR
,,32,314.46432,813,16,,CHS,EN 10210-2 HR
,,32,391.1076,813,20,,CHS,EN 10210-2 HR
,,32,485.802,813,25,,CHS,EN 10210-2 HR
,,32,579.2634,813,30,,CHS,EN 10210-2 HR
,,36,178.73568,914,8,,CHS,EN 10210-2 HR
,,36,222.9264,914,10,,CHS,EN 10210-2 HR
,,36,277.887375,914,12.5,,CHS,EN 10210-2 HR
,,36,315.0847656,914,14.2,,CHS,EN 10210-2 HR
,,36,354.31488,914,16,,CHS,EN 10210-2 HR
,,36,440.9208,914,20,,CHS,EN 10210-2 HR
,,36,548.0685,914,25,,CHS,EN 10210-2 HR
,,36,653.9832,914,30,,CHS,EN 10210-2 HR
,,40,198.85824,1016,8,,CHS,EN 10210-2 HR
,,40,248.0796,1016,10,,CHS,EN 10210-2 HR
,,40,309.328875,1016,12.5,,CHS,EN 10210-2 HR
,,40,350.8023096,1016,14.2,,CHS,EN 10210-2 HR
,,40,394.56,1016,16,,CHS,EN 10210-2 HR
,,40,491.2272,1016,20,,CHS,EN 10210-2 HR
,,40,610.9515,1016,25,,CHS,EN 10210-2 HR
,,40,729.4428,1016,30,,CHS,EN 10210-2 HR
,,42,260.6562,1067,10,,CHS,EN 10210-2 HR
,,42,325.049625,1067,12.5,,CHS,EN 10210-2 HR
,,42,368.6610816,1067,14.2,,CHS,EN 10210-2 HR
,,42,414.68256,1067,16,,CHS,EN 10210-2 HR
,,42,516.3804,1067,20,,CHS,EN 10210-2 HR
,,42,642.393,1067,25,,CHS,EN 10210-2 HR
,,42,767.1726,1067,30,,CHS,EN 10210-2 HR
,,46,285.5628,1168,10,,CHS,EN 10210-2 HR
,,46,356.182875,1168,12.5,,CHS,EN 10210-2 HR
,,46,404.0284536,1168,14.2,,CHS,EN 10210-2 HR
,,46,454.53312,1168,16,,CHS,EN 10210-2 HR
,,46,566.1936,1168,20,,CHS,EN 10210-2 HR
,,46,704.6595,1168,25,,CHS,EN 10210-2 HR
,,48,298.1394,1219,10,,CHS,EN 10210-2 HR
,,48,371.903625,1219,12.5,,CHS,EN 10210-2 HR
,,48,421.8872256,1219,14.2,,CHS,EN 10210-2 HR
,,48,474.65568,1219,16,,CHS,EN 10210-2 HR
,,48,591.3468,1219,20,,CHS,EN 10210-2 HR
,,48,736.101,1219,25,,CHS,EN 10210-2 HR
CHS 0.125 SCH 40,,0.125,0.3689136,10.5,1.7,40,CHS,KS 3562 SMLS
CHS 0.125 SCH 60,,0.125,0.4502916,10.5,2.2,60,CHS,KS 3562 SMLS
CHS 0.125 SCH 80,,0.125,0.4793904,10.5,2.4,80,CHS,KS 3562 SMLS
CHS 0.25 SCH 40,,0.25,0.6293232,13.8,2.2,40,CHS,KS 3562 SMLS
CHS 0.25 SCH 60,,0.25,0.6746976,13.8,2.4,60,CHS,KS 3562 SMLS
CHS 0.25 SCH 80,,0.25,0.8364672,13.8,3.2,80,CHS,KS 3562 SMLS
CHS 0.375 SCH 40,,0.375,0.85077,17.3,2.3,40,CHS,KS 3562 SMLS
CHS 0.375 SCH 60,,0.375,1.001196,17.3,2.8,60,CHS,KS 3562 SMLS
CHS 0.375 SCH 80,,0.375,1.1126592,17.3,3.2,80,CHS,KS 3562 SMLS
CHS 0.5 SCH 40,,0.5,1.3050072,21.7,2.8,40,CHS,KS 3562 SMLS
CHS 0.5 SCH 60,,0.5,1.459872,21.7,3.2,60,CHS,KS 3562 SMLS
CHS 0.5 SCH 80,,0.5,1.642356,21.7,3.7,80,CHS,KS 3562 SMLS
CHS 0.75 SCH 40,,0.75,1.7377902,27.2,2.9,40,CHS,KS 3562 SMLS
CHS 0.75 SCH 60,,0.75,1.9954872,27.2,3.4,60,CHS,KS 3562 SMLS
CHS 0.75 SCH 80,,0.75,2.2408542,27.2,3.9,80,CHS,KS 3562 SMLS
CHS 1 SCH 40,,1,2.5656264,34,3.4,40,CHS,KS 3562 SMLS
CHS 1 SCH 60,,1,2.8948374,34,3.9,60,CHS,KS 3562 SMLS
CHS 1 SCH 80,,1,3.273615,34,4.5,80,CHS,KS 3562 SMLS
CHS 1.25 SCH 40,,1.25,3.4711416,42.7,3.6,40,CHS,KS 3562 SMLS
CHS 1.25 SCH 60,,1.25,4.239054,42.7,4.5,60,CHS,KS 3562 SMLS
CHS 1.25 SCH 80,,1.25,4.5675252,42.7,4.9,80,CHS,KS 3562 SMLS
CHS 1.5 SCH 40,,1.5,3.99492,48.6,3.6,40,CHS,KS 3562 SMLS
CHS 1.5 SCH 60,,1.5,4.893777,48.6,4.5,60,CHS,KS 3562 SMLS
CHS 1.5 SCH 80,,1.5,5.2804458,48.6,4.9,80,CHS,KS 3562 SMLS
CHS 2 SCH 40,,2,5.1825456,60.5,3.7,40,CHS,KS 3562 SMLS
CHS 2 SCH 60,,2,6.21432,60.5,4.5,60,CHS,KS 3562 SMLS
CHS 2 SCH 80,,2,6.9674364,60.5,5.1,80,CHS,KS 3562 SMLS
CHS 2.5 SCH 20,,2.5,5.7684672,76.3,3.2,20,CHS,KS 3562 SMLS
CHS 2.5 SCH 40,,2.5,6.9629976,76.3,3.9,40,CHS,KS 3562 SMLS
CHS 2.5 SCH 60,,2.5,8.6275476,76.3,4.9,60,CHS,KS 3562 SMLS
CHS 2.5 SCH 80,,2.5,9.602604,76.3,5.5,80,CHS,KS 3562 SMLS
CHS 3 SCH 20,,3,9.388062,89.1,4.5,20,CHS,KS 3562 SMLS
CHS 3 SCH 40,,3,10.7586648,89.1,5.2,40,CHS,KS 3562 SMLS
CHS 3 SCH 60,,3,12.295476,89.1,6,60,CHS,KS 3562 SMLS
CHS 3 SCH 80,,3,14.172102,89.1,7,80,CHS,KS 3562 SMLS
CHS 3.5 SCH 20,,3.5,10.775187,101.6,4.5,20,CHS,KS 3562 SMLS
CHS 3.5 SCH 40,,3.5,13.4798958,101.6,5.7,40,CHS,KS 3562 SMLS
CHS 3.5 SCH 60,,3.5,16.329852,101.6,7,60,CHS,KS 3562 SMLS
CHS 3.5 SCH 80,,3.5,18.676251,101.6,8.1,80,CHS,KS 3562 SMLS
CHS 4 SCH 20,,4,13.2192396,114.3,4.9,20,CHS,KS 3562 SMLS
CHS 4 SCH 40,,4,16.024068,114.3,6,40,CHS,KS 3562 SMLS
CHS 4 SCH 60,,4,18.7692192,114.3,7.1,60,CHS,KS 3562 SMLS
CHS 4 SCH 80,,4,22.4164332,114.3,8.6,80,CHS,KS 3562 SMLS
CHS 5 SCH 20,,5,16.9406802,139.8,5.1,20,CHS,KS 3562 SMLS
CHS 5 SCH 40,,5,21.6790992,139.8,6.6,40,CHS,KS 3562 SMLS
CHS 5 SCH 60,,5,26.3065482,139.8,8.1,60,CHS,KS 3562 SMLS
CHS 5 SCH 80,,5,30.525381,139.8,9.5,80,CHS,KS 3562 SMLS
CHS 6 SCH 20,,6,21.660111,165.2,5.5,20,CHS,KS 3562 SMLS
CHS 6 SCH 40,,6,27.6810966,165.2,7.1,40,CHS,KS 3562 SMLS
CHS 6 SCH 60,,6,35.7537942,165.2,9.3,60,CHS,KS 3562 SMLS
CHS 6 SCH 80,,6,41.828292,165.2,11,80,CHS,KS 3562 SMLS
CHS 8 SCH 20,,8,33.1272576,216.3,6.4,20,CHS,KS 3562 SMLS
CHS 8 SCH 30,,8,36.129366,216.3,7,30,CHS,KS 3562 SMLS
CHS 8 SCH 40,,8,42.0803172,216.3,8.2,40,CHS,KS 3562 SMLS
CHS 8 SCH 60,,8,52.323588,216.3,10.3,60,CHS,KS 3562 SMLS
CHS 8 SCH 80,,8,63.7638552,216.3,12.7,80,CHS,KS 3562 SMLS
CHS 10 SCH 20,,10,41.192064,267.4,6.4,20,CHS,KS 3562 SMLS
CHS 10 SCH 30,,10,49.9335408,267.4,7.8,30,CHS,KS 3562 SMLS
CHS 10 SCH 40,,10,59.1921378,267.4,9.3,40,CHS,KS 3562 SMLS
CHS 10 SCH 60,,10,79.7674554,267.4,12.7,60,CHS,KS 3562 SMLS
CHS 10 SCH 80,,10,93.9479418,267.4,15.1,80,CHS,KS 3562 SMLS
CHS 12 SCH 20,,12,49.2568704,318.5,6.4,20,CHS,KS 3562 SMLS
CHS 12 SCH 30,,12,64.2353544,318.5,8.4,30,CHS,KS 3562 SMLS
CHS 12 SCH 40,,12,78.2821836,318.5,10.3,40,CHS,KS 3562 SMLS
CHS 12 SCH 60,,12,107.2724796,318.5,14.3,60,CHS,KS 3562 SMLS
CHS 12 SCH 80,,12,129.1971924,318.5,17.4,80,CHS,KS 3562 SMLS
CHS 14 SCH 10,,14,55.1121408,355.6,6.4,10,CHS,KS 3562 SMLS
CHS 14 SCH 20,,14,67.7368278,355.6,7.9,20,CHS,KS 3562 SMLS
CHS 14 SCH 30,,14,81.080847,355.6,9.5,30,CHS,KS 3562 SMLS
CHS 14 SCH 40,,14,94.298607,355.6,11.1,40,CHS,KS 3562 SMLS
CHS 14 SCH 60,,14,126.790623,355.6,15.1,60,CHS,KS 3562 SMLS
CHS 14 SCH 80,,14,157.710564,355.6,19,80,CHS,KS 3562 SMLS
CHS 16 SCH 10,,16,63.1296,406.4,6.4,10,CHS,KS 3562 SMLS
CHS 16 SCH 20,,16,77.633379,406.4,7.9,20,CHS,KS 3562 SMLS
CHS 16 SCH 30,,16,92.981763,406.4,9.5,30,CHS,KS 3562 SMLS
CHS 16 SCH 40,,16,123.2997534,406.4,12.7,40,CHS,KS 3562 SMLS
CHS 16 SCH 60,,16,160.4870334,406.4,16.7,60,CHS,KS 3562 SMLS
CHS 16 SCH 80,,16,203.17374,406.4,21.4,80,CHS,KS 3562 SMLS
CHS 18 SCH 10,,18,71.1470592,457.2,6.4,10,CHS,KS 3562 SMLS
CHS 18 SCH 20,,18,87.5299302,457.2,7.9,20,CHS,KS 3562 SMLS
CHS 18 SCH 30,,18,122.1091686,457.2,11.1,30,CHS,KS 3562 SMLS
CHS 18 SCH 40,,18,156.1833702,457.2,14.3,40,CHS,KS 3562 SMLS
CHS 18 SCH 60,,18,205.314228,457.2,19,60,CHS,KS 3562 SMLS
CHS 18 SCH 80,,18,254.3659272,457.2,23.8,80,CHS,KS 3562 SMLS
CHS 20 SCH 10,,20,79.1645184,508,6.4,10,CHS,KS 3562 SMLS
CHS 20 SCH 20,,20,116.783595,508,9.5,20,CHS,KS 3562 SMLS
CHS 20 SCH 30,,20,155.1190446,508,12.7,30,CHS,KS 3562 SMLS
CHS 20 SCH 40,,20,183.5392014,508,15.1,40,CHS,KS 3562 SMLS
CHS 20 SCH 60,,20,247.5972504,508,20.6,60,CHS,KS 3562 SMLS
CHS 20 SCH 80,,20,311.2871256,508,26.2,80,CHS,KS 3562 SMLS
CHS 22 SCH 10,,22,87.1819776,558.8,6.4,10,CHS,KS 3562 SMLS
CHS 22 SCH 20,,22,128.684511,558.8,9.5,20,CHS,KS 3562 SMLS
CHS 22 SCH 30,,22,171.0286902,558.8,12.7,30,CHS,KS 3562 SMLS
CHS 22 SCH 40,,22,212.8678326,558.8,15.9,40,CHS,KS 3562 SMLS
CHS 24 SCH 10,,24,95.1994368,609.6,6.4,10,CHS,KS 3562 SMLS
CHS 24 SCH 20,,24,140.585427,609.6,9.5,20,CHS,KS 3562 SMLS
CHS 24 SCH 30,,24,209.9254014,609.6,14.3,30,CHS,KS 3562 SMLS
CHS 26 SCH 10,,26,127.116135,660.4,7.9,10,CHS,KS 3562 SMLS
CHS 26 SCH 20,,26,202.8479814,660.4,12.7,20,CHS,KS 3562 SMLS
,,0.5,0.951876,21.3,2,,CHS,EN 10219-2 CR
,,0.5,1.15902,21.3,2.5,,CHS,EN 10219-2 CR
,,0.5,1.353834,21.3,3,,CHS,EN 10219-2 CR
,,0.75,1.228068,26.9,2,,CHS,EN 10219-2 CR
,,0.75,1.50426,26.9,2.5,,CHS,EN 10219-2 CR
,,0.75,1.768122,26.9,3,,CHS,EN 10219-2 CR
,,1,1.563444,33.7,2,,CHS,EN 10219-2 CR
,,1,1.92348,33.7,2.5,,CHS,EN 10219-2 CR
,,1,2.271186,33.7,3,,CHS,EN 10219-2 CR
,,1.25,1.992528,42.4,2,,CHS,EN 10219-2 CR
,,1.25,2.459835,42.4,2.5,,CHS,EN 10219-2 CR
,,1.25,2.914812,42.4,3,,CHS,EN 10219-2 CR
,,1.25,3.787776,42.4,4,,CHS,EN 10219-2 CR
,,1.5,2.283516,48.3,2,,CHS,EN 10219-2 CR
,,1.5,2.82357,48.3,2.5,,CHS,EN 10219-2 CR
,,1.5,3.351294,48.3,3,,CHS,EN 10219-2 CR
,,1.5,4.369752,48.3,4,,CHS,EN 10219-2 CR
,,1.5,5.33889,48.3,5,,CHS,EN 10219-2 CR
,,2,2.875356,60.3,2,,CHS,EN 10219-2 CR
,,2,3.56337,60.3,2.5,,CHS,EN 10219-2 CR
,,2,4.239054,60.3,3,,CHS,EN 10219-2 CR
,,2,5.553432,60.3,4,,CHS,EN 10219-2 CR
,,2,6.81849,60.3,5,,CHS,EN 10219-2 CR
,,0,3.654612,76.1,2,,CHS,EN 10219-2 CR
,,0,4.53744,76.1,2.5,,CHS,EN 10219-2 CR
,,0,5.407938,76.1,3,,CHS,EN 10219-2 CR
,,0,7.111944,76.1,4,,CHS,EN 10219-2 CR
,,0,8.76663,76.1,5,,CHS,EN 10219-2 CR
,,0,10.371996,76.1,6,,CHS,EN 10219-2 CR
,,0,10.8439884,76.1,6.3,,CHS,EN 10219-2 CR
,,3,4.285908,88.9,2,,CHS,EN 10219-2 CR
,,3,5.32656,88.9,2.5,,CHS,EN 10219-2 CR
,,3,6.354882,88.9,3,,CHS,EN 10219-2 CR
,,3,8.374536,88.9,4,,CHS,EN 10219-2 CR
,,3,10.34487,88.9,5,,CHS,EN 10219-2 CR
,,3,12.265884,88.9,6,,CHS,EN 10219-2 CR
,,3,12.8325708,88.9,6.3,,CHS,EN 10219-2 CR
,,3.5,4.912272,101.6,2,,CHS,EN 10219-2 CR
,,3.5,6.109515,101.6,2.5,,CHS,EN 10219-2 CR
,,3.5,7.294428,101.6,3,,CHS,EN 10219-2 CR
,,3.5,9.627264,101.6,4,,CHS,EN 10219-2 CR
,,3.5,11.91078,101.6,5,,CHS,EN 10219-2 CR
,,3.5,14.144976,101.6,6,,CHS,EN 10219-2 CR
